amenity,amen_count
amen_Bosch_refrigerator,2
amen_Johnsons_body_soap,2
amen_SONOS_sound_system,2
amen_TV_with_Chromecast,2
amen_Tres_Somme_shampoo,2
amen_Pantene_conditioner,2
amen_43_HDTV_with_Netflix,2
amen_45_HDTV_with_Netflix,2
amen_65_HDTV_with_Netflix,2
amen_Johnsons_conditioner,2
amen_Kenmore_refrigerator,2
amen_Tresemme_conditioner,2
amen_Shared_gym_in_building,2
amen_Tres_Somme_conditioner,2
amen_Free_washer_In_building,2
amen_Frigidaire_refrigerator,2
amen_Large_Toaster_Oven_oven,2
amen_Private_gym_in_building,2
amen_HDTV_with_standard_cable,2
amen_Bosch_stainless_steel_oven,2
amen_TV_with_Amazon_Prime_Video,2
amen_Bose_Bluetooth_sound_system,2
amen_Garnier_Fructis_conditioner,2
amen_Viking_stainless_steel_oven,2
amen_Alexa_Bluetooth_sound_system,2
amen_Dedicated_workspace:_monitor,2
amen_Samsung_Bluetooth_sound_system,2
amen_Wolf_stainless_steel_gas_stove,2
amen_48_HDTV_with_Amazon_Prime_Video,2
amen_65_HDTV_with_Amazon_Prime_Video,2
amen_Paid_parking_garage_on_premises,2
amen_Shared_fenced_garden_or_backyard,2
amen_Viking_stainless_steel_gas_stove,2
amen_Clothing_storage:_closet_and_wardrobe,2
amen_Dedicated_workspace:_desk_and_office_chair,2
amen_JBL,1
amen_43_TV,1
amen_Sonos,1
amen_table,1
amen_47_HDTV,1
amen_51_HDTV,1
amen_52_HDTV,1
amen_dresser,1
amen_FreeSens,1
amen_Ge_stove,1
amen_wardrobe,1
amen_and_table,1
amen_Gym_nearby,1
amen_Paid_washer,1
amen_Vulcan_oven,1
amen_Vo_5_shampoo,1
amen_Vulcan_stove,1
amen_Wifi_24_Mbps,1
amen_Wifi_33_Mbps,1
amen_dove_shampoo,1
amen_2-5_years_old,1
amen_Hotel_shampoo,1
amen_Lux_body_soap,1
amen_Suave_shampoo,1
amen_Wifi_240_Mbps,1
amen_Wifi_400_Mbps,1
amen_Wifi_500_Mbps,1
amen_Wifi_800_Mbps,1
amen_Wifi_870_Mbps,1
amen_Wifi_950_Mbps,1
amen_Shared_hot_tub,1
amen_Wifi_1000_Mbps,1
amen_walk-in_closet,1
amen_Fridgedare_oven,1
amen_Ge_refrigerator,1
amen_Hotel_body_soap,1
amen_Ivory_body_soap,1
amen_Kiels_body_soap,1
amen_LG_refrigerator,1
amen_Local_body_soap,1
amen_Organic_shampoo,1
amen_Rituals_shampoo,1
amen_Suave_body_soap,1
amen_Various_shampoo,1
amen_dove__body_soap,1
amen_Fridgedaire_oven,1
amen_Inc_refrigerator,1
amen_Khiels_body_soap,1
amen_TREsemme_shampoo,1
amen_TV_with_Apple_TV,1
amen_dove_conditioner,1
amen_variable_shampoo,1
amen_55_HDTV_with_Roku,1
amen_Game_console:_PS3,1
amen_Hotel_conditioner,1
amen_Jergens_body_soap,1
amen_Local_conditioner,1
amen_Rituals_body_soap,1
amen_Shared_gym_nearby,1
amen_Toaster_oven_oven,1
amen_Tres_Seme_shampoo,1
amen_Various_body_soap,1
amen_generic_body_soap,1
amen_various_body_soap,1
amen_40_TV_with_Netflix,1
amen_Amana_refrigerator,1
amen_Bose__sound_system,1
amen_Dr_Woods_body_soap,1
amen_Khiels_conditioner,1
amen_Miele_refrigerator,1
amen_and_5-10_years_old,1
amen_nexus__conditioner,1
amen_sharp_refrigerator,1
amen_the_best_body_soap,1
amen_Aussie__conditioner,1
amen_ICE_Air_conditioner,1
amen_Organic_conditioner,1
amen_Rituals_conditioner,1
amen_Sonons_sound_system,1
amen_Trader_Joes_shampoo,1
amen_Various_conditioner,1
amen_generic_conditioner,1
amen_small__refrigerator,1
amen_stove_top_gas_stove,1
amen_various_conditioner,1
amen_32_HDTV_with_HBO_Max,1
amen_42_HDTV_with_Netflix,1
amen_58_HDTV_with_Netflix,1
amen_60_HDTV_with_Netflix,1
amen_75_HDTV_with_Netflix,1
amen_Brands_vary._shampoo,1
amen_Samsung_refrigerator,1
amen_TREsemme_conditioner,1
amen_the_best_conditioner,1
amen_48_HDTV_with_Apple_TV,1
amen_50_TV_with_Chromecast,1
amen_Blomberg_refrigerator,1
amen_Gaggenau_refrigerator,1
amen_Its_a_hot_plate_stove,1
amen_120_HDTV_with_Apple_TV,1
amen_Americana_refrigerator,1
amen_Brands_vary._body_soap,1
amen_Dr._Bronners_body_soap,1
amen_Free_dryer_In_building,1
amen_Irish_Spring_body_soap,1
amen_Molten_Brown_body_soap,1
amen_Molton_Brown_body_soap,1
amen_TV_with_standard_cable,1
amen_Whirlpool_refrigerator,1
amen_24_HDTV_with_Chromecast,1
amen_32_HDTV_with_Chromecast,1
amen_50_HDTV_with_Chromecast,1
amen_DOVE_UNSENTED_body_soap,1
amen_Electrolux_refrigerator,1
amen_GE_PROFILE_refrigerator,1
amen_Trader_Joes_conditioner,1
amen_large_toaster_oven_oven,1
amen_Brands_vary._conditioner,1
amen_Fridgedaire_refrigerator,1
amen_Half_fridge_refrigerator,1
amen_Large_Toaster_Oven._oven,1
amen_Molton_Brown_conditioner,1
amen_Moroccan_Oil_conditioner,1
amen_Public_Goods_conditioner,1
amen_Sub-Zero_Freezer_Company,1
amen_fridgidaire_refrigerator,1
amen_Bath_&_Body_Works_shampoo,1
amen_Fenced_garden_or_backyard,1
amen_Shared_indoor_heated_pool,1
amen_Wolf_stainless_steel_oven,1
amen_bergman_kelly_conditioner,1
amen_46_HDTV_with_premium_cable,1
amen_Function_of_Beauty_shampoo,1
amen_LG_smart_Tech_refrigerator,1
amen_Miele_stainless_steel_oven,1
amen_Private_garden_or_backyard,1
amen_Puracy_plant_based_shampoo,1
amen_sharp_stainless_steel_oven,1
amen_50_HDTV_with_standard_cable,1
amen_Bang_&_Olufson_sound_system,1
amen_Bath_&_Body_Works_body_soap,1
amen_Onkyo_sound_system_with_aux,1
amen_Regular_Body_Soap_body_soap,1
amen_Roku_Bluetooth_sound_system,1
amen_sharp_stainless_steel_stove,1
amen_Dove_Deep_Moisture_body_soap,1
amen_For_sensitive_skin_body_soap,1
amen_Paid_parking_lot_on_premises,1
amen_Pantane_(all_in_one)_shampoo,1
amen_37_TV_with_Amazon_Prime_Video,1
amen_Bath_&_Body_Works_conditioner,1
amen_Blomberg_stainless_steel_oven,1
amen_Puracy_plant_based__body_soap,1
amen_Yamaha_Bluetooth_sound_system,1
amen_Dove_(original_sent)_body_soap,1
amen_Function_of_Beauty_conditioner,1
amen_Neutrogena_Body_Wash_body_soap,1
amen_Puracy_plant_based_conditioner,1
amen_Whirlpool_stainless_steel_oven,1
amen_electric__stainless_steel_oven,1
amen_roku_tv_Bluetooth_sound_system,1
amen_samsung_Bluetooth_sound_system,1
amen_whirlpool_stainless_steel_oven,1
amen_32_HDTV_with_Amazon_Prime_Video,1
amen_42_HDTV_with_Amazon_Prime_Video,1
amen_55_HDTV_with_Amazon_Prime_Video,1
amen_Bosch_stainless_steel_gas_stove,1
amen_Dr._Bronner_All_in_one__shampoo,1
amen_Echo_Dot_Bluetooth_sound_system,1
amen_Miele_stainless_steel_gas_stove,1
amen_Trader_Joes_Body_Wash_body_soap,1
amen_120_HDTV_with_Amazon_Prime_Video,1
amen_Dr._Bronner_All_in_one_body_soap,1
amen_Marshall__Bluetooth_sound_system,1
amen_Paid_parking_on_premises_1_space,1
amen_Small_under_counter_refrigerator,1
amen_Dedicated_workspace:_office_chair,1
amen_Shared_outdoor_olympic-sized_pool,1
amen_Blomberg_stainless_steel_gas_stove,1
amen_Countertop_Hotplate_electric_stove,1
amen_Google_Home_Bluetooth_sound_system,1
amen_Hot_induction_plate_electric_stove,1
amen_natural_liquid_body_wash_body_soap,1
amen_GAS_COOK_TOP_ONLY_NO_OVEN_gas_stove,1
amen_Tivoli_Audio_Bluetooth_sound_system,1
amen_Whirlpool_stainless_steel_gas_stove,1
amen_bose_speaker_Bluetooth_sound_system,1
amen_whirlpool_stainless_steel_gas_stove,1
amen_Bosch_stainless_steel_electric_stove,1
amen_Everyone_Body_Soap/organic_body_soap,1
amen_Nubian_Heritage_Black_Soap_body_soap,1
amen_Pantene_and_Head_&_Shoulders_shampoo,1
amen_Sony_&_Technic_sound_system_with_aux,1
amen_fridgidare_stainless_steel_gas_stove,1
amen_BOSE_SOUNDBAR__Bluetooth_sound_system,1
amen_Clothing_storage:_wardrobe_and_closet,1
amen_face&body_bar_Bergman_Kelly_body_soap,1
amen_Clothing_storage:_dresser_and_wardrobe,1
amen_Undercounter_Refrigerator_refrigerator,1
amen_NAD_sound_system_with_Bluetooth_and_aux,1
amen_Paid_parking_garage_on_premises_1_space,1
amen_Power_Airfryer_360_stainless_steel_oven,1
amen_Stainless_Steel_Fridgedare_refrigerator,1
amen_BOSE_sound_system_with_Bluetooth_and_aux,1
amen_Bose_sound_system_with_Bluetooth_and_aux,1
amen_Paid_parking_garage_on_premises_2_spaces,1
amen_Puracy_plant_based_and_natural_body_soap,1
amen_Sony_sound_system_with_Bluetooth_and_aux,1
amen_Stovetop_works_-_Oven_does_not_gas_stove,1
amen_Alexa_sound_system_with_Bluetooth_and_aux,1
